BMC000257967,0.15
BMC000258158,0
BMC000258167,0
BMC000258184,0.31
BMC000258205,0
BMC000258209,0
BMC000258218,0
BMC000258219,0
BMC000258232,0
BMC000258292,0
BMC000258306,0.12
BMC000258316,0
BMC000258339,0
BMC000258357,0.17
BMC000258359,0
BMC000258416,0
BMC000258433,0
BMC000258434,0
BMC000258438,0.95
BMC000258439,0.26
BMC000258442,0
BMC000258448,0
BMC000258465,0
BMC000258473,0.406
BMC000258482,1.01
BMC000258559,0
BMC000258598,0.596
BMC000258609,0
BMC000258619,0.14
BMC000258624,0
BMC000258626,0.28
BMC000258630,0
BMC000258631,0
BMC000258635,0
BMC000258651,0.26
BMC000258682,0
BMC000258693,0
BMC000258698,0
BMC000258741,0
BMC000258753,0
BMC000258756,0
BMC000258759,0
BMC000258808,0
BMC000258826,0
BMC000258828,0
BMC000258843,0
BMC000258851,0
BMC000258861,0
BMC000259119,1.05
BMC000259176,1.06
BMC000259447,0.73
BMC000259563,0.81
BMC000259616,1.27
BMC000259636,0.7
BMC000259646,3.02
BMC000259749,0.6
BMC000259839,1.62
BMC000259862,0.58
BMC000259948,0.68
BMC000260018,0.14
BMC000260020,0.19
BMC000260311,0.19
BMC000260315,0.16
BMC000260320,0.72
BMC000260401,0.17
BMC000260409,0.48
BMC000260440,0.81
BMC000260459,0.5
BMC000260586,0.17
BMC000260597,0.06
BMC000260600,0.8
BMC000260623,1.01
BMC000260624,0.6
BMC000260663,0.23
BMC000260685,0.7
BMC000260691,0.35
BMC000260706,0.52
BMC000260708,0.63
BMC000260743,0.41
BMC000260749,0.29
BMC000260782,0.21
BMC000260791,0.23
BMC000260821,2.0
BMC000260840,0.39
BMC000260855,0.44
BMC000260861,0.39
BMC000260863,0.41
BMC000260869,0.68
BMC000260881,0.49
BMC000260921,0
BMC000260928,0.42
BMC000260961,0.6
BMC000260964,0.506
BMC000260966,0.37
BMC000260978,1.34
BMC000261006,0.68
BMC000261016,0.39
BMC000261019,0.82
BMC000261048,0.58
BMC000261060,0.91
BMC000261117,0.456
BMC000261137,0.48
BMC000261147,0.54
BMC000261159,0.25
BMC000261160,0.45
BMC000261164,0.16
BMC000261169,0.72
BMC000261170,0.73
BMC000261182,0.31
BMC000261252,0.46
BMC000261269,0.27
BMC000261270,0.25
BMC000261275,0.8
BMC000261296,0.64
BMC000261297,1.11
BMC000261299,0.26
BMC000261310,0.4
BMC000261311,0.26
BMC000261332,0.18
BMC000261334,1.76
BMC000261343,0.42
BMC000261349,0.4
BMC000261367,0.31
BMC000261409,0.29
BMC000261413,0.26
BMC000261420,0.52
BMC000261421,0.31
BMC000261431,0.16
BMC000261432,0.36
BMC000261440,0.19
BMC000261448,1.07
BMC000261459,0.27
BMC000261675,0.46
BMC000261724,0.83
BMC000261725,0.48
BMC000261728,0.21
BMC000261733,0.33
BMC000261738,0.81
BMC000261746,0.51
BMC000261759,0.14
BMC000261760,0.57
BMC000261775,0.45
BMC000261781,0.32
BMC000261788,0.8
BMC000261797,0.9
BMC000261800,0.51
BMC000261805,0.5
BMC000261807,0.49
BMC000261808,0.55
BMC000261813,0.45
BMC000261814,0.86
BMC000261819,1.15
BMC000261824,0.43
BMC000261826,0.43
BMC000261833,0.55
BMC000261850,0
BMC000261875,0.5
BMC000261880,0.53
BMC000261888,0.97
BMC000261891,0.45
BMC000261894,0.69
BMC000261895,0.49
BMC000261898,0.28
BMC000261899,0.27
BMC000261901,0.45
BMC000261906,0.37
BMC000261908,0.48
BMC000261912,0.76
BMC000261916,0.51
BMC000261917,0.66
BMC000261918,0.09
BMC000261919,0.24
BMC000261925,0.48
BMC000261926,0
BMC000261927,0.43
BMC000261929,0.69
BMC000261931,0.54
BMC000261933,0.5
BMC000261934,0.51
BMC000261935,0.45
BMC000261937,0.49
BMC000261942,0.33
BMC000261943,0.56
BMC000261944,0.255
BMC000261947,0.28
BMC000261949,1.1
BMC000261950,0.25
BMC000261955,0.58
BMC000261956,0.56
BMC000261958,0.7
BMC000261969,0.14
BMC000261980,0.49
BMC000261982,0.22
BMC000261985,0.26
BMC000261987,0.45
BMC000261996,0.53
BMC000262013,0.4
BMC000262022,0.99
BMC000262047,0.69
BMC000262050,0.49
BMC000262056,0.43
BMC000262075,0.5
BMC000262083,0.46
BMC000262084,0.46
BMC000262085,0.42
BMC000262088,0.45
BMC000262089,0.86
BMC000262090,1.94
BMC000262091,0.5
BMC000262092,0.21
BMC000262093,0.2
BMC000262094,0.26
BMC000262106,0.91
BMC000262107,0.13
BMC000262115,0.2
BMC000262117,0.45
BMC000262119,1.63
BMC000262121,0.5
BMC000262123,0.46
BMC000262124,0.43
BMC000262127,0.49
BMC000262128,0.85
BMC000262130,0.42
BMC000262132,0.495
BMC000262139,1.07
BMC000262140,1.84
BMC000262142,0.43
BMC000262143,0.57
BMC000262144,0.4
BMC000262224,1.31
BMC000262226,0.54
BMC000262229,0.45
BMC000262230,0.38
BMC000262231,0.43
BMC000262253,0.45
BMC000262266,0.226
BMC000262268,0.17
BMC000262270,0.4
BMC000262272,0.86
BMC000262275,1.65
BMC000262277,0.43
BMC000262281,0.09
BMC000262291,0.41
BMC000262294,0.45
BMC000262300,0.5
BMC000262301,0.43
BMC000262307,0.19
BMC000262319,0.51
BMC000262320,0.49
BMC000262321,0.2
BMC000262327,0.88
BMC000262334,0.526
BMC000262337,0.26
BMC000262338,0.4
BMC000262339,0.57
BMC000262341,0.49
BMC000262342,0.31
BMC000262350,0.755
BMC000262352,0.61
BMC000262378,0.17
BMC000262383,0.48
BMC000262387,0.25
BMC000262405,0.53
BMC000262414,0.97
BMC000262421,0.43
BMC000262427,0.13
BMC000262438,1.48
BMC000262441,0.39
BMC000262452,0.73
BMC000262456,0.24
BMC000262458,0.22
BMC000262462,0.44
BMC000262463,0.33
BMC000262465,0.36
BMC000262469,0.49
BMC000262483,0.41
BMC000262487,0.57
BMC000262491,1.14
BMC000262494,0.7
BMC000262496,0.89
BMC000262498,0.42
BMC000262500,0.49
BMC000262503,0.76
BMC000262511,0.97
BMC000262517,0.27
BMC000262522,0.39
BMC000262526,0.8
BMC000262528,0.93
BMC000262531,0.37
BMC000262532,0.37
BMC000262533,0.24
BMC000262538,0.33
BMC000262550,0.93
BMC000262551,1.02
BMC000262554,0.43
BMC000262559,1.06
BMC000262560,0.43
BMC000262562,0.53
BMC000262574,0.19
BMC000262580,1.86
BMC000262587,0.86
BMC000262589,1.13
BMC000262591,0.59
BMC000262592,0.81
BMC000262598,0.4
BMC000262601,1.36
BMC000262604,0.28
BMC000262613,0.74
BMC000262618,0.4
BMC000262622,1.06
BMC000262626,0.46
BMC000262628,0.63
BMC000262631,0.24
BMC000262633,0.41
BMC000262635,1.5
BMC000262649,0.99
BMC000262650,0.23
BMC000262652,0.54
BMC000262654,1.08
BMC000262660,0.69
BMC000262662,0.35
BMC000262663,0.38
BMC000262664,0.6
BMC000262666,0.44
BMC000262670,0.26
BMC000262674,0.92
BMC000262678,0.67
BMC000262683,0.37
BMC000262685,0.83
BMC000262688,0.35
BMC000262697,0.19
BMC000262700,1.186
BMC000262704,0.13
BMC000262708,1.05
BMC000262714,0.39
BMC000262716,0.57
BMC000262729,0.62
BMC000262730,0.4
BMC000262731,1.13
BMC000262732,0.57
BMC000262734,0.36
BMC000262737,0.71
BMC000262743,2.04
BMC000262744,0.34
BMC000262750,0.98
BMC000262753,0.31
BMC000262754,0.56
BMC000262761,1.28
BMC000262768,0.45
BMC000262770,0.33
BMC000262772,0.612
BMC000262776,0.45
BMC000262780,0.59
BMC000262782,0.47
BMC000262786,0.1
BMC000262798,1.31
BMC000262809,0.16
BMC000262827,0.8
BMC000262831,0.71
BMC000262853,0.48
BMC000262854,0.67
BMC000262855,0.75
BMC000262858,0.32
BMC000262868,0.58
BMC000262870,0.4
BMC000262874,0.2
BMC000262878,1.38
BMC000262884,0.44
BMC000262887,0.4
BMC000262893,0.49
BMC000262904,0.9
BMC000262905,0.17
BMC000262908,0.69
BMC000262909,0.27
BMC000262928,0.43
BMC000262930,0.76
BMC000262931,0.81
BMC000262934,0.83
BMC000262935,0.28
BMC000262943,0.26
BMC000262944,0.31
BMC000262946,0.31
BMC000262948,0.43
